,acc,loss,val_acc,val_loss
0,0.44,7.974268923348127,0.48,8.335724387327039
1,0.48,8.33572438732704,0.48,8.335724387327039
2,0.48,8.33572438732704,0.48,8.335724387327039
3,0.48,8.33572438732704,0.48,8.335724387327039
4,0.48,8.33572438732704,0.48,8.335724387327039
5,0.48,8.33572438732704,0.48,8.335724387327039
6,0.48,8.33572438732704,0.48,8.335724387327039
7,0.48,8.33572438732704,0.48,8.335724387327039
8,0.48,8.33572438732704,0.48,8.335724387327039
9,0.48,8.33572438732704,0.48,8.335724387327039
10,0.48,8.33572438732704,0.48,8.335724387327039
11,0.48,8.33572438732704,0.48,8.335724387327039
12,0.48,8.33572438732704,0.48,8.335724387327039
13,0.48,8.335724387327039,0.48,8.335724387327039
14,0.48,8.335724387327042,0.48,8.335724387327039
15,0.48,8.33572438732704,0.48,8.335724387327039
16,0.48,8.33572438732704,0.48,8.335724387327039
17,0.48,8.33572438732704,0.48,8.335724387327039
18,0.48,8.335724387327039,0.48,8.335724387327039
19,0.48,8.33572438732704,0.48,8.335724387327039
20,0.48,8.335724387327042,0.48,8.335724387327039
21,0.48,8.33572438732704,0.48,8.335724387327039
22,0.48,8.33572438732704,0.48,8.335724387327039
23,0.48,8.33572438732704,0.48,8.335724387327039
24,0.48,8.335724387327039,0.48,8.335724387327039
25,0.48,8.33572438732704,0.48,8.335724387327039
26,0.48,8.335724387327042,0.48,8.335724387327039
27,0.48,8.335724387327042,0.48,8.335724387327039
28,0.48,8.33572438732704,0.48,8.335724387327039
29,0.48,8.335724387327042,0.48,8.335724387327039
30,0.48,8.335724387327042,0.48,8.335724387327039
31,0.48,8.335724387327039,0.48,8.335724387327039
32,0.48,8.33572438732704,0.48,8.335724387327039
33,0.48,8.33572438732704,0.48,8.335724387327039
34,0.48,8.33572438732704,0.48,8.335724387327039
35,0.48,8.33572438732704,0.48,8.335724387327039
36,0.48,8.33572438732704,0.48,8.335724387327039
37,0.48,8.335724387327042,0.48,8.335724387327039
38,0.48,8.335724387327042,0.48,8.335724387327039
39,0.48,8.33572438732704,0.48,8.335724387327039
40,0.48,8.335724387327042,0.48,8.335724387327039
41,0.48,8.335724387327039,0.48,8.335724387327039
42,0.48,8.33572438732704,0.48,8.335724387327039
43,0.48,8.33572438732704,0.48,8.335724387327039
44,0.48,8.335724387327039,0.48,8.335724387327039
45,0.48,8.335724387327042,0.48,8.335724387327039
46,0.48,8.33572438732704,0.48,8.335724387327039
47,0.48,8.33572438732704,0.48,8.335724387327039
48,0.48,8.33572438732704,0.48,8.335724387327039
49,0.48,8.33572438732704,0.48,8.335724387327039
50,0.48,8.335724387327039,0.48,8.335724387327039
51,0.48,8.33572438732704,0.48,8.335724387327039
52,0.48,8.33572438732704,0.48,8.335724387327039
53,0.48,8.335724387327042,0.48,8.335724387327039
54,0.48,8.33572438732704,0.48,8.335724387327039
55,0.48,8.335724387327042,0.48,8.335724387327039
56,0.48,8.33572438732704,0.48,8.335724387327039
57,0.48,8.335724387327039,0.48,8.335724387327039
58,0.48,8.335724387327039,0.48,8.335724387327039
59,0.48,8.33572438732704,0.48,8.335724387327039
60,0.48,8.33572438732704,0.48,8.335724387327039
61,0.48,8.335724387327042,0.48,8.335724387327039
62,0.48,8.33572438732704,0.48,8.335724387327039
63,0.48,8.335724387327042,0.48,8.335724387327039
64,0.48,8.335724387327039,0.48,8.335724387327039
65,0.48,8.33572438732704,0.48,8.335724387327039
66,0.48,8.335724387327042,0.48,8.335724387327039
67,0.48,8.33572438732704,0.48,8.335724387327039
68,0.48,8.33572438732704,0.48,8.335724387327039
69,0.48,8.335724387327039,0.48,8.335724387327039
70,0.48,8.335724387327042,0.48,8.335724387327039
71,0.48,8.335724387327042,0.48,8.335724387327039
72,0.48,8.33572438732704,0.48,8.335724387327039
73,0.48,8.335724387327039,0.48,8.335724387327039
74,0.48,8.33572438732704,0.48,8.335724387327039
75,0.48,8.335724387327042,0.48,8.335724387327039
76,0.48,8.335724387327042,0.48,8.335724387327039
77,0.48,8.33572438732704,0.48,8.335724387327039
78,0.48,8.33572438732704,0.48,8.335724387327039
79,0.48,8.33572438732704,0.48,8.335724387327039
80,0.48,8.335724387327042,0.48,8.335724387327039
81,0.48,8.33572438732704,0.48,8.335724387327039
82,0.48,8.33572438732704,0.48,8.335724387327039
83,0.48,8.33572438732704,0.48,8.335724387327039
84,0.48,8.33572438732704,0.48,8.335724387327039
85,0.48,8.33572438732704,0.48,8.335724387327039
86,0.48,8.33572438732704,0.48,8.335724387327039
87,0.48,8.335724387327039,0.48,8.335724387327039
88,0.48,8.33572438732704,0.48,8.335724387327039
89,0.48,8.33572438732704,0.48,8.335724387327039
90,0.48,8.33572438732704,0.48,8.335724387327039
91,0.48,8.335724387327042,0.48,8.335724387327039
92,0.48,8.33572438732704,0.48,8.335724387327039
93,0.48,8.33572438732704,0.48,8.335724387327039
94,0.48,8.33572438732704,0.48,8.335724387327039
95,0.48,8.33572438732704,0.48,8.335724387327039
96,0.48,8.335724387327042,0.48,8.335724387327039
97,0.48,8.33572438732704,0.48,8.335724387327039
98,0.48,8.33572438732704,0.48,8.335724387327039
99,0.48,8.33572438732704,0.48,8.335724387327039
